text,text_cleaned_full,manual
"""mayi minta"" 🫴",mayi minta,
itu pengasuhnya kamari yang dulu kemana sih kalo boleh tau?udah jarang keliatan,pengasuhnya kamari dulu kemana kalo boleh tauudah jarang keliatan,
siapa yang motong poni kamari ko agak miring dikit🤔,siapa motong poni kamari ko agak miring dikit,
poni nya kapan tumbuh lagi mayi lama bgt dah perasaan tumbuh nya 🥲,poni nya kapan tumbuh lagi mayi lama dah perasaan tumbuh nya,
"maap jen, tp cantikan mayi 🙏😭",maap jen cantikan mayi,
"""pake beda"" 😭",pake beda,
Sebelum ribuan,sebelum ribuan,
absen sebulum ribuan,absen sebulum ribuan,
Spill bajunya jen,spill bajunya jen,
oh mayi dari barista ganti profesi ya jadi MUA,oh mayi barista ganti profesi mua,
kamari ini bukan putih weh tapi pink😭😭🤣,kamari bukan putih tapi pink,
LUCU BGT ADEKK 🥺🥺,lucu adekk,
kamari: cantik kannn,kamari cantik kannn,
kamari : im just a girl 🧚🏻‍♀,kamari im just girl,
lucuuu bangett,lucuuu bangett,
Mayi “ mayi mintak “ lucukk bgt sih,mayi mayi mintak lucukk,
jangan takut dess ada mayiii🙂,jangan takut dess mayiii,
bayi stroberi dia kak,bayi stroberi kak,
Kakk inget “yang mungkin anda kenal” bukan “yang mungkin kenal anda”😭,kakk inget mungkin anda kenal bukan mungkin kenal anda,
kek nya tone kulit jen udah mulai balik putih lagi deh,kek nya tone kulit jen mulai balik putih lagi,
Iya jen tuh sukanya item tpi kulit aslinya putih🤣,iya jen tuh sukanya item tpi kulit aslinya putih,
Bagus gk gays alis aku 😭😭,bagus gk gays alis,
lucu banget😭😭🤏🏻,lucu,
aaaaa mayiii udaa pinter bgt yaa sekarang 🥺🥺,aaaaa mayiii udaa pinter sekarang,
"bikin lagi aja Jen, mayi buat gue",bikin lagi jen mayi buat gue,
pls bagian itu sweet banget🥺,bagian sweet,
Gabakal ad yg berani potong poni mayi sampe kek gt klo bukan emak nya 😂😂,gabakal ad berani potong poni mayi sampe kek gt bukan emak nya,
"kak ijin koreksi, lailahailallah yg bener, jngn di ptong nnti beda arti",kak ijin koreksi lailahailallah bener jngn ptong nnti beda arti,
yailah pirang udah bjsa diajak dandan😭😭😭🤏🏻,yailah pirang bjsa diajak dandan,
Poni awetttt bener mayii😂,poni awetttt bener mayii,
"""PAKE BEDDA""
Ihhhh lucu naaaaa mayiii kuu""🤏🏻😭",pake bedda ihhhh lucu naaaaa mayiii kuu,
'mayi minta' gemes bgt adee🥺💗,mayi minta gemes adee,
mamariii tuu aslinya putihh yaa😭,mamariii tuu aslinya putihh,
“mayi mintak” lucu bgt mayi🥰😚,mayi mintak lucu mayi,
ihh lucu banget kamari 😭,ihh lucu kamari,
"terngiang-ngiang "" jangan takut ada mayyiiiii""",terngiangngiang jangan takut mayyiiiii,
KO UDA GEDE AJAA SIIIII ADEKKK🥺🥺💕💕,ko gede ajaa siiiii adekkk,
siapapun mmpir vt ku dongs,siapapun mmpir vt ku dongs,
"ihhh, sekarang kamari gembul bgt jadi lucuuuu",ihhh sekarang kamari gembul lucuuuu,
Mayi catik kan?🤏🏻🤏🏻,mayi catik,
"yaallah poni nyaa, mengingatkan ku waktu motong rambut Berbie pas masih kecil 😭🤣",yaallah poni nyaa mengingatkan ku waktu motong rambut berbie pas masih kecil,
hy kamari❤️❤️❤,hy kamari,
ehhh mayiii lucuu bgtt😘😘😘😘,ehhh mayiii lucuu bgtt,
lucu bgtttt ciiiiiii yampun nanti aku sma ank aku mau kaya gini jgaaa🥰,lucu bgtttt ciiiiiii yampun nanti sma ank mau kaya gini jgaaa,
