text,text_cleaned_full
cakep till,cakep till
keranjang kuningnya mana kak untuk yang ini?,kuningnya mana kak
Soldout,soldout
"""mayi mintak"" 😭🤏🏻",mayi mintak
“Mayi cantik kan?” atah atah bocil wes bisa bertanya 😭🤏🏻,mayi cantik atah atah bocil wes bisa bertanya
kepo bgt adekkkk😭💗💗💗😭😭😭,kepo adekkkk
si blonde makin lucu aja sik😭😭❤️❤️❤️❤,si blonde makin lucu sik
LAILAHAILALLAH 😭😭😭,lailahailallah
"buah jatuh se pohon "" nya😭😭",buah jatuh se pohon nya
kamari ini bukan putih weh tapi pink😭😭🤣,kamari bukan putih tapi pink
tiba tiba banget orang yang mungkin anda kenal 😭🙏,tiba tiba orang mungkin anda kenal
"Tbtb bgt sekarang udah bisa dandan, padahal dulu masih kecil🤏",tbtb sekarang bisa dandan padahal dulu masih kecil
poninyaa😭😭,poninyaa
ngapainnn mayii😭😭😭😭,ngapainnn mayii
Cushion timephoria emang the bestttt😍,cushion timephoria emang the bestttt
LUCU BGT ADEKK 🥺🥺,lucu adekk
kamari: cantik kannn,kamari cantik kannn
,nan
YALLAH SEGARA PANJANGKAN PONI KAMARI😔🤲🏻,yallah segara panjangkan poni kamari
Cushion Nya kegelapan ga sihhh??,cushion nya kegelapan sihhh
lucu bgt si pirang😩,lucu si pirang
bayikk bikin aliss😭😭,bayikk bikin aliss
kamari : im just a girl 🧚🏻‍♀,kamari im just girl
aelahhhhhh yok mar ikuttttttt,aelahhhhhh mar ikuttttttt
LU APAIN PONI BOCIL ITU KAK JENNN?!!! KENAPA LU BUAT SUNGSANG BEGITU PONI NYA KAK JENNNNNNN😭,lu apain poni bocil kak jennn kenapa lu buat sungsang begitu poni nya kak jennnnnnn
😭,
"""mayi minta""",mayi minta
aaarrgghhh mayiii😖😖,aaarrgghhh mayiii
lucuuu bangett,lucuuu bangett
poninya lama bgttt tumbuhnyaaa😭😭,poninya lama bgttt tumbuhnyaaa
"""mau bantu mama mikaaap""😭🤣🤣 marr gemes bgt🥰🤣",mau bantu mama mikaaap marr gemes
mayi mintaaa 😁,mayi mintaaa
Mayi “ mayi mintak “ lucukk bgt sih,mayi mayi mintak lucukk
yaampun lucu bet poni crop top itu😣😭,lucu bet poni crop top
jangan takut dess ada mayiii🙂,jangan takut dess mayiii
HAHAHHA LUCU BGT PAS KAGET GGR MUKA KAMARI CELEMOTAN😭😭,hahahha lucu pas kaget ggr muka kamari celemotan
mayi gamau kalah cantik sama mamanya😭😭,mayi gamau kalah cantik sama mamanya
siapa si yang motong poni kamari 😭😭,siapa si motong poni kamari
lucu kamari,lucu kamari
lucu banget mayi nya 😆🤏🏼,lucu mayi nya
sibuk banget kamari 🥰🥰🥰🥰,sibuk kamari
pirang dah dewasa,pirang dah dewasa
"di aku kok timephoria cepet bgt ya ngesetnya jd agk susah mau di blend, apa kurang skinprep?",kok timephoria cepet ngesetnya agk susah mau blend apa kurang skinprep
